nombre,municipio,tipo,superficie_ha,categoria,Horarios_de_visita,Costo_de_ingreso,Fuente
Ribera Norte (San Isidro),"Camino de la Ribera 480, Acassuso, Partido de San Isidro",Reserva natural municipal,,reservas_info,"Lunes a viernes 09:00–17:00; sábados, domingos 09:00–18:00",Gratuito,Mun. San Isidro
Barranca de Los Ombúes,"Quinta Los Ombúes (Museo Beccar Varela), San Isidro",Reserva natural municipal,,reservas_info,Martes a domingos 13:00–19:00 (horario de museo histórico),Gratuito,Mun. San Isidro (Facebook)
Barranca de la Quinta Pueyrredón,"Quinta Pueyrredón (Museo Pueyrredón), San Isidro",Reserva natural municipal,,reservas_info,Martes a domingos 10:00–18:00 (horario de parque/museo),Gratuito,"San Isidro Cultura (sitio oficial, horario museos)"
Rafael de Aguiar (San Nicolás),"Ribera del Río Paraná, 12 km NE de San Nicolás (Pdo. San Nicolás)",Parque Natural Urbano (municipal),,reservas_info,Abierto todo el año (acceso público sin restricción horaria),Gratuito,Clarín (puesta en valor recreativa)
Vuelta de Obligado,"Vuelta de Obligado, San Pedro (sobre río Paraná)",Reserva natural municipal,,reservas_info,"Todos los días 09:00–18:00 (aprox., horario diurno)",Gratuito,Turismo PBA (mención circuito)
Claromecó,"Balneario Claromecó y dunas adyacentes, Pdo. Tres Arroyos",Reserva natural municipal,,reservas_info,Acceso libre permanente (playas y bosques sin cercado),Gratuito,Municipalidad Tres Arroyos (turismo local)
Faro Querandí (Gesell),"Médanos del Faro Querandí, 5 km al sur de Mar Azul (Pdo. Villa Gesell)",Reserva natural municipal,,reservas_info,Acceso libre permanente (requiere vehículo 4x4 por arena),Gratuito,Sec. Turismo Villa Gesell (informes locales)
La Salada (Villarino),"Laguna La Salada, Partido de Villarino",Reserva natural municipal,,reservas_info,Sin datos (posible acceso de pescadores local),No corresponde,–
Bosque Escondido (Villarino),"Bosque de caldenes en Pedro Luro, Partido de Villarino",Reserva natural municipal,,reservas_info,Sin datos (sector protegido sin infraestructura),Gratuito,–
Parque Lacunario Gral. San Martín (Bragado),"Laguna de Bragado (Parque Gral. San Martín), Pdo. Bragado",Reserva histórica natural municipal,,reservas_info,Abierto todo el año (parque público),Gratuito,Municipio de Bragado (turismo local)
Vivero Dunícola F. Ameghino (Miramar),"Vivero Dunícola, Miramar, Pdo. Gral. Alvarado",Reserva natural (paisaje protegido),,reservas_info,"Todos los días 08:00–20:00 (aprox., parque forestal abierto)",Gratuito,Mun. Gral. Alvarado (ref. simil. abiertos)
Río Reconquista (Ituzaingó),"Ribera del Río Reconquista, Partido de Ituzaingó",Reserva Natural Urbana,,reservas_info,Sin datos (abierta durante eventos de educación ambiental),Gratuito,Municipio Ituzaingó (programas ambientales)
Ciudad Evita (La Matanza),"Ciudad Evita, Partido de La Matanza",Reserva Natural y Área Protegida,,reservas_info,Sin datos (sector protegido periurbano),Gratuito,–
Parque Plaza Montero (Las Flores),"Laguna del Parque Plaza Montero, Las Flores",Reserva Natural Urbana y Refugio,,reservas_info,Abierto todos los días (parque urbano público),Gratuito,Municipio de Las Flores (turismo)
Arenas Verdes (Lobería),"Balneario Arenas Verdes, Partido de Lobería",Paisaje protegido de interés provincial,,reservas_info,Acceso libre permanente (playa y médanos abiertos),Gratuito,Municipalidad de Lobería (turismo)
Dique Ing. Roggero (“Los Robles”),"Dique Roggero, Cuenca Reconquista (Partido de Moreno)",Área natural protegida (municipal),,reservas_info,"Todos los días 08:00–18:00 (aprox., parque “Los Robles”)",Gratuito (estac. vehículo pago modesto),Municipio de Moreno (Ambiente)
Morón (Reserva Urbana),"Barrio Pontevedra, Partido de Morón",Reserva Natural Urbana,,reservas_info,Sin datos (acceso controlado por visitas guiadas),Gratuito,Mun. Morón (Agenda Ambiental)
Ex Batallón Viejo Bueno (Quilmes),"Ex Batallón “Viejo Bueno”, Quilmes (Ezpeleta)",Reserva Ecológica y Área Protec. Amb.,,reservas_info,No abierta al público (predio militar reconvertido),No corresponde,"Diario5dias (Quilmes, noticia creación)"
Ricardo Güiraldes (Areco),"Villa Lía, Pdo. San Antonio de Areco (zona Parque Criollo)",Reserva Natural Urbana / Parque Criollo,,reservas_info,Sin datos (posible acceso con horario museo gauchesco),Gratuito,Mun. Areco (Turismo cultural)
Bosque Alegre (San Isidro),"Barranca del Bosque Alegre, Barrio Santa Rita, San Isidro",Paisaje Protegido (municipal),,reservas_info,Sin datos (acceso limitado por propiedad privada/club),–,San Isidro (Patrimonio local)
Islas de San Isidro,Islas del Delta frente a San Isidro (Río de la Plata),Paisaje Protegido (municipal),,reservas_info,No abierta al público (islas sin desarrollo turístico),No corresponde,–
El Corredor (San Miguel),"Barrio El Corredor, Partido de San Miguel",Reserva Natural Urbana,,reservas_info,Sin datos (área verde urbana con senderos),Gratuito,Mun. San Miguel (Medio Ambiente)
Vicente López (Reserva Ecológica),Costa de Vicente López (Parque Natural Ribera VL),Reserva Ecológica (municipal),,reservas_info,Martes a domingos 09:30–18:00 (lun cerrado),Gratuito,"GCBA (Reserva Ribera, ref.)"
Zárate (Reserva Natural Urbana),"Ribera del Paraná de las Palmas, Partido de Zárate",Reserva Natural Urbana,,reservas_info,Sin datos (acceso libre a espacios costeros sin control),Gratuito,"Mun. Zárate (ecología, sin detalle público)"
